gene,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000069011.10,PITX1,5.645674869,18.68428555,0.323792959,4.769657585,0.366367203,13.01878974,9.57E-39,2.69E-34
ENSG00000170689.8,HOXB9,2.542841495,8.723280511,0.020213326,4.760790025,0.45601708,10.43993797,1.63E-25,2.29E-21
ENSG00000180818.4,HOXC10,2.801117363,9.515087862,0.060721241,4.573976434,0.450076946,10.16265436,2.91E-24,2.72E-20
ENSG00000005073.5,HOXA11,1.968120815,6.790016813,0,4.704004551,0.464198762,10.13359996,3.92E-24,2.75E-20
ENSG00000253293.3,HOXA10,3.490951038,11.39924263,0.263076918,4.273310612,0.424645743,10.06323667,8.03E-24,4.51E-20
ENSG00000128710.5,HOXD10,2.571228206,8.771584074,0.040470709,4.602450782,0.459700694,10.01184215,1.35E-23,6.33E-20
ENSG00000151615.3,POU4F2,3.275094764,10.65474879,0.262991079,3.962234866,0.399432324,9.919665063,3.42E-23,1.37E-19
ENSG00000106031.6,HOXA13,2.456714139,8.02965272,0.182045331,4.16589885,0.422501813,9.860073322,6.20E-23,2.18E-19
ENSG00000128709.10,HOXD9,2.226868536,7.186919798,0.202357816,3.657288226,0.414984131,8.813079713,1.22E-18,3.80E-15
ENSG00000175879.7,HOXD8,1.709837506,5.601476941,0.121413247,3.86684022,0.441813003,8.752210086,2.09E-18,5.88E-15
ENSG00000106004.4,HOXA5,2.198025114,7.08753252,0.202307805,3.879624361,0.447708454,8.665515085,4.49E-18,1.11E-14
ENSG00000152779.12,SLC16A12,55.42203664,167.6663979,9.608011637,3.513877491,0.405780778,8.659546448,4.74E-18,1.11E-14
ENSG00000113196.2,HAND1,1.939326182,6.244745112,0.182012333,3.703297111,0.434147072,8.530052036,1.46E-17,3.16E-14
ENSG00000171540.6,OTP,3.203560344,9.169070101,0.768658402,2.99853816,0.356332866,8.414991835,3.93E-17,7.88E-14
ENSG00000056736.5,IL17RB,1311.101222,2144.334132,971.0061566,1.392757088,0.171001042,8.144728652,3.80E-16,7.12E-13
ENSG00000163817.11,SLC6A20,173.0365778,433.2822255,66.81386452,2.355393001,0.297614409,7.914243839,2.49E-15,4.37E-12
ENSG00000197757.7,HOXC6,1.32180997,4.411567164,0.060684584,3.608890689,0.459910019,7.846949488,4.26E-15,7.04E-12
ENSG00000112303.9,VNN2,25.74519701,62.90119014,10.57948553,2.490891037,0.319211114,7.803271648,6.03E-15,9.20E-12
ENSG00000183943.5,PRKX,604.749605,900.2916355,484.1202048,1.419148852,0.181957299,7.799351057,6.22E-15,9.20E-12
ENSG00000180229.8,HERC2P3,1987.225167,3987.179721,1170.917186,2.068672846,0.266370874,7.766137556,8.09E-15,1.14E-11
ENSG00000166426.7,CRABP1,365.4665328,867.6974397,160.4743258,2.151887472,0.286035632,7.523144775,5.35E-14,7.15E-11
ENSG00000150782.7,IL18,156.7992638,328.8559944,86.57202689,2.023017785,0.269480815,7.507093897,6.05E-14,7.72E-11
ENSG00000168779.14,SHOX2,6.220894192,16.70274221,1.942588881,2.590579146,0.346584575,7.47459447,7.74E-14,9.46E-11
ENSG00000106809.6,OGN,513.0835881,1554.775327,87.90328628,3.096561721,0.414691311,7.467148793,8.20E-14,9.59E-11
ENSG00000100985.7,MMP9,11.66655238,29.79148904,4.268619046,2.597536777,0.348314056,7.457456078,8.82E-14,9.91E-11
ENSG00000146278.10,PNRC1,1874.122041,2611.274344,1573.24355,0.787521831,0.106119437,7.42108944,1.16E-13,1.25E-10
ENSG00000127083.7,OMD,204.5615689,479.2931711,92.42622102,2.078429798,0.281098632,7.393952007,1.43E-13,1.48E-10
ENSG00000152467.5,ZSCAN1,135.1514856,86.15288475,155.1509145,-1.089604198,0.14760336,-7.381974209,1.56E-13,1.56E-10
ENSG00000137462.6,TLR2,225.4970707,379.9603302,162.4508423,1.784825495,0.243734154,7.322837043,2.43E-13,2.35E-10
ENSG00000134294.9,SLC38A2,5448.302819,9251.666485,3895.909486,1.312783542,0.179998157,7.293316594,3.02E-13,2.83E-10
ENSG00000240990.5,HOXA11-AS,1.752693576,5.600545193,0.182141896,3.274237465,0.451208006,7.256603206,3.97E-13,3.60E-10
ENSG00000096060.10,FKBP5,1761.453328,2871.434083,1308.399958,1.671613618,0.231180969,7.230757913,4.80E-13,4.22E-10
ENSG00000198417.5,MT1F,1056.780648,2073.240429,641.8991051,1.72970858,0.23986706,7.211113434,5.55E-13,4.72E-10
ENSG00000112175.6,BMP5,78.56077631,241.0564531,12.23601026,3.148977548,0.437231611,7.202081153,5.93E-13,4.90E-10
ENSG00000125772.8,GPCPD1,1758.533512,1058.647366,2044.201326,-1.136133827,0.157850791,-7.197517489,6.13E-13,4.92E-10
ENSG00000126778.6,SIX1,43.87043701,122.7544089,11.67289744,2.659900729,0.370210915,7.184825241,6.73E-13,5.25E-10
ENSG00000100906.6,NFKBIA,1914.357877,3092.374531,1433.534753,1.105039614,0.154079685,7.171870945,7.40E-13,5.62E-10
ENSG00000102362.11,SYTL4,468.8932365,842.4497818,316.4211772,1.877703222,0.262663408,7.148705004,8.76E-13,6.47E-10
ENSG00000003989.12,SLC7A2,1280.579437,2508.422998,779.4187996,1.976235317,0.277039303,7.13341138,9.79E-13,7.05E-10
ENSG00000172296.8,SPTLC3,83.36410554,209.4088297,31.91727936,2.447364553,0.345044564,7.092894093,1.31E-12,9.22E-10
ENSG00000205364.3,MT1M,1326.080866,2493.276197,849.6746085,1.732230484,0.244642991,7.080646286,1.43E-12,9.83E-10
ENSG00000164093.10,PITX2,0.976803415,3.270902228,0.040436553,3.403833161,0.482129109,7.060003425,1.66E-12,1.11E-09
ENSG00000096696.9,DSP,407.5898266,1060.312409,141.1724461,2.349306957,0.333868355,7.036626619,1.97E-12,1.29E-09
ENSG00000115590.9,IL1R2,15.50248561,44.41366091,3.702005894,3.037549435,0.436280576,6.962376055,3.35E-12,2.12E-09
ENSG00000124107.5,SLPI,100.2548838,279.4141925,27.12863542,2.718475059,0.390559548,6.960462418,3.39E-12,2.12E-09
ENSG00000162909.13,CAPN2,3810.049879,5088.311985,3288.310244,0.881802813,0.126863439,6.950803328,3.63E-12,2.22E-09
ENSG00000198743.5,SLC5A3,1323.600678,2150.508514,986.087275,1.220699603,0.178199082,6.850201416,7.37E-12,4.41E-09
ENSG00000163884.3,KLF15,1024.824355,1485.127799,836.9453987,1.238102652,0.183201391,6.758150923,1.40E-11,8.18E-09
ENSG00000163221.7,S100A12,25.10064929,72.22472406,5.866333061,2.961506156,0.438761369,6.74969668,1.48E-11,8.49E-09
ENSG00000168209.4,DDIT4,1528.853789,2565.118074,1105.888774,1.508603482,0.223828024,6.740011633,1.58E-11,8.90E-09
ENSG00000167588.8,GPD1,332.3453455,161.6849547,402.0026479,-1.377029578,0.204996295,-6.717338848,1.85E-11,1.02E-08
ENSG00000142494.9,SLC47A1,322.1832819,690.4349059,171.8764966,1.804953764,0.270159704,6.681062122,2.37E-11,1.27E-08
ENSG00000205929.5,C21orf62,57.71949695,101.4114584,39.88604328,1.864406213,0.27930925,6.675060744,2.47E-11,1.27E-08
ENSG00000243836.1,WDR86-AS1,46.54148181,126.6732762,13.83462696,2.505589819,0.375412016,6.674239803,2.49E-11,1.27E-08
ENSG00000268592.1,RP11-244K5.8,20.61511464,3.272627543,27.6936808,-2.53685319,0.379989323,-6.676117032,2.45E-11,1.27E-08
ENSG00000128714.5,HOXD13,0.675187,2.329395151,0,3.276720878,0.491220436,6.670571166,2.55E-11,1.28E-08
ENSG00000265710.1,AL161772.1,5.013817689,0.198268118,6.979348126,-3.077445026,0.461674564,-6.665831873,2.63E-11,1.30E-08
ENSG00000226673.1,RP11-359N11.2,2.240971965,6.690726679,0.424745551,2.991398788,0.449198932,6.659407606,2.75E-11,1.33E-08
ENSG00000168229.3,PTGDR,46.99994754,126.0211362,14.74640116,2.490280113,0.374259084,6.65389358,2.85E-11,1.36E-08
ENSG00000147606.4,SLC26A7,31.27375282,79.3522207,11.64988838,2.356799944,0.354679196,6.644877879,3.03E-11,1.42E-08
ENSG00000168453.10,HR,1939.285016,1215.999168,2234.503729,-0.985809912,0.148936897,-6.6189771,3.62E-11,1.67E-08
ENSG00000200127.1,Y_RNA,25.22874834,50.16284201,15.05156724,1.934441365,0.293237997,6.5968305,4.20E-11,1.90E-08
ENSG00000111817.11,DSE,268.7571582,395.2325044,217.1345679,1.096716459,0.167242106,6.55765756,5.47E-11,2.44E-08
ENSG00000130600.10,H19,95.10758108,212.5865793,47.15696956,2.121262559,0.323932155,6.548477903,5.81E-11,2.55E-08
ENSG00000112499.7,SLC22A2,25.82996623,81.28278461,3.196162805,3.089318079,0.473663475,6.522179227,6.93E-11,2.99E-08
ENSG00000183072.9,NKX2-5,1.982789706,5.997648513,0.344071825,2.810653254,0.4325475,6.49790659,8.14E-11,3.47E-08
ENSG00000186298.7,PPP1CC,3056.113808,3949.237261,2691.573623,0.561675053,0.086482662,6.494655027,8.32E-11,3.49E-08
ENSG00000069702.6,TGFBR3,677.2147147,1089.399649,508.9759661,1.376141238,0.212997185,6.460842382,1.04E-10,4.30E-08
ENSG00000241781.2,AL161626.1,1167.514015,133.6334033,1589.506101,-2.473518692,0.383301669,-6.453190513,1.10E-10,4.46E-08
ENSG00000125144.9,MT1G,1431.721024,2941.83441,815.3482136,1.748512651,0.273451889,6.394224079,1.61E-10,6.47E-08
ENSG00000112299.7,VNN1,8.979028662,23.14787998,3.195824041,2.423488346,0.379370806,6.38817828,1.68E-10,6.64E-08
ENSG00000092607.9,TBX15,45.01051979,103.0955567,21.30234145,1.985332608,0.310996004,6.383788169,1.73E-10,6.65E-08
ENSG00000138772.8,ANXA3,374.4552177,635.6444839,267.847354,1.244061993,0.194861548,6.384338043,1.72E-10,6.65E-08
ENSG00000131668.9,BARX1,4.281707481,11.15311758,1.477050298,2.27994176,0.357423201,6.378829776,1.78E-10,6.77E-08
ENSG00000112312.5,GMNN,372.1415452,546.7796435,300.8606887,1.044181342,0.163940092,6.369286075,1.90E-10,7.11E-08
ENSG00000115648.9,MLPH,47.13362392,116.2699293,18.91472375,2.119915233,0.333230719,6.361704098,2.00E-10,7.37E-08
ENSG00000022976.11,ZNF839,726.2633744,596.7531344,779.1246968,-0.490741311,0.077284167,-6.349829889,2.16E-10,7.86E-08
ENSG00000111087.5,GLI1,101.8544501,179.6244956,70.11157433,1.644089438,0.25904979,6.346615601,2.20E-10,7.93E-08
ENSG00000205116.3,TMEM88B,213.0569144,40.84682285,283.3467477,-2.188295975,0.345328353,-6.336855801,2.35E-10,8.34E-08
ENSG00000108950.7,FAM20A,130.6379037,312.2717913,56.50162309,2.056156222,0.324881925,6.328933874,2.47E-10,8.67E-08
ENSG00000165474.5,GJB2,151.3756839,372.4695877,61.13327421,2.212002466,0.34992708,6.321324047,2.59E-10,8.99E-08
ENSG00000169715.10,MT1E,2626.905741,4505.679998,1860.059105,1.375869898,0.217992068,6.311559465,2.76E-10,9.46E-08
ENSG00000180447.5,GAS1,258.5069491,515.4117768,153.6478358,1.576617287,0.250761942,6.287306896,3.23E-10,1.09E-07
ENSG00000106511.5,MEOX2,29.07687731,54.57064801,18.67125662,1.586389917,0.252423438,6.284637956,3.29E-10,1.10E-07
ENSG00000142449.8,FBN3,54.76986437,33.06173185,63.63032663,-1.355200415,0.215945004,-6.275673845,3.48E-10,1.15E-07
ENSG00000121083.6,DYNLL2,10139.86191,8138.56891,10956.71619,-0.564365849,0.090416361,-6.241855395,4.32E-10,1.40E-07
ENSG00000261416.1,RP11-455F5.5,25.55864737,14.92034796,29.90081039,-1.319572944,0.211428841,-6.241215425,4.34E-10,1.40E-07
ENSG00000113916.13,BCL6,2765.041094,3771.679099,2354.168439,1.05048139,0.168670857,6.227995818,4.72E-10,1.51E-07
ENSG00000163464.7,CXCR1,8.246224713,22.45254577,2.447726321,2.626736106,0.422458351,6.217739808,5.04E-10,1.59E-07
ENSG00000131650.9,KREMEN2,131.6311336,79.01777846,153.1059724,-1.069255316,0.172095317,-6.21315754,5.19E-10,1.62E-07
ENSG00000264462.1,MIR3648,13.709558,0.594818806,19.06251277,-2.835169846,0.456817281,-6.206354184,5.42E-10,1.67E-07
ENSG00000164761.4,TNFRSF11B,157.6508176,344.9098917,81.21854247,2.176597426,0.35103936,6.200436979,5.63E-10,1.70E-07
ENSG00000167644.7,C19orf33,14.30968289,35.4904558,5.66446945,2.307836593,0.372165277,6.201106701,5.61E-10,1.70E-07
ENSG00000171130.12,ATP6V0E2,7746.875138,6095.180673,8421.036145,-0.628888699,0.101510584,-6.195301731,5.82E-10,1.74E-07
ENSG00000128585.13,MKLN1,3105.86562,4015.998248,2734.382915,0.689564927,0.111372264,6.191531916,5.96E-10,1.76E-07
ENSG00000124491.11,F13A1,321.912213,732.4141139,154.3604167,1.939948914,0.313411839,6.189775468,6.02E-10,1.76E-07
ENSG00000000971.11,CFH,993.5077671,2021.613275,573.8728661,1.752715025,0.283943986,6.172749245,6.71E-10,1.90E-07
ENSG00000110077.10,MS4A6A,237.7032073,459.1892387,147.3007455,2.050830778,0.332230227,6.172920506,6.70E-10,1.90E-07
ENSG00000152049.5,KCNE4,231.0780165,494.407498,123.5965955,1.955961744,0.316790792,6.174301127,6.65E-10,1.90E-07
ENSG00000126804.9,ZBTB1,1075.794644,1372.92174,954.5182788,0.655641615,0.106362366,6.164225582,7.08E-10,1.99E-07
ENSG00000187554.7,TLR5,76.71911416,123.823441,57.49285832,1.31790708,0.214239403,6.151562524,7.67E-10,2.13E-07
ENSG00000165029.11,ABCA1,649.3990953,949.5284118,526.8973335,1.215619278,0.198753906,6.116203206,9.58E-10,2.64E-07
ENSG00000144909.7,OSBPL11,730.2332948,938.6573485,645.1622525,0.828591349,0.135722931,6.105021021,1.03E-09,2.79E-07
ENSG00000173068.13,BNC2,60.7935579,131.8358932,31.79668634,1.987668393,0.325636425,6.103949805,1.03E-09,2.79E-07
ENSG00000101916.11,TLR8,10.23029126,23.24938118,4.916377007,2.27802163,0.373721658,6.095503375,1.09E-09,2.92E-07
ENSG00000257894.1,RP1-78O14.1,11.24836488,31.62206212,2.932570079,2.652951781,0.437789217,6.059883792,1.36E-09,3.61E-07
